linea;oid;nombre;alias;cerrada;regiongeo;departamento;localidad;urbanarural;coddepart;codloc;codsecc;codseg;codzona;cod1;cod2;coordx;coordy;latlong;calle;numpuerta;esquina;telefono;codregion;regionasse;depadmin;uedepende;uedependenom;nivelatencion;categoria;codcatsnomed;pertenecea;pertenecearap;sgc;sgcenua;hcea;hceo;obstetrapartera;medfamycom;medgeneral;pediatria;ginecoobstetricia;odontolog;espadolesc;horespado;vacunatorio;puertaemer;puertaurge;geosalud;maternidadbc;maternidadac;camactiadulto;camacetped;camaciadulto;camaciped;camacb;camacm;ctisic;resehgeosalud;hceintgeosalud;block;siq;medfarmacia;meddispensa;webfarma;sga farmacia;emedicamen;muestraslab;laboratorio;imradiologia;imecografo;immamografo;imtomografo;imrnm;ridi;telemedicina;LAT;LONG;geometry
71;2.16.858.0.0.2.1.1.5980102004001009072;INTERIN CENTRO SUR;INTERIN CENTRO SUR;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;4;1;9;102004001009072;1072;573176.93;6136938.94;-34.90734745,-56.19898650;SAN JOSÉ;S-D;FLORIDA;2902 9675;2;SUR;SALUD MENTAL;68;ASSE CENTRAL;PRIMER NIVEL;POLICLINICA;35971002;S-D;NO;NO;NO;NO;NO;NC;NC;NC;NC;NC;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.90734745;-56.1989865;POINT (-56.1989865 -34.90734745)
72;2.16.858.0.0.2.1.1.5980102013029002073;INTERIN CERRO;INTERIN CERRO;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;13;29;2;102013029002073;1073;568521.82;6140903.63;-34.87192370,-56.25026335;HAITI;S-D;DR. RAUL MORETTI;2315 5834;2;SUR;SALUD MENTAL;68;ASSE CENTRAL;PRIMER NIVEL;POLICLINICA;35971002;S-D;NO;NO;NO;NO;NO;NC;NC;NC;NC;NC;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.8719237;-56.25026335;POINT (-56.25026335 -34.8719237)
74;2.16.858.0.0.2.1.1.5980102011097808075;POLICLINICA 24 DE JUNIO;POL. 24 DE JUNIO;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;11;97;808;102011097808075;1075;582947.26;6149107.1;-34.79688102,-56.09325371;PASAJE E;7759;CNO. REPETTO;22202508;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;POLICLINICA;35971002;NO PERTENECE A ASSE;SI;SI;SI;SI;NO;NO;SI;NO;NO;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.79688102;-56.09325371;POINT (-56.09325371 -34.79688102)
79;2.16.858.0.0.2.1.1.5980102017044008080;POLICLINICA ARTIGAS;POL. ARTIGAS;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;17;44;8;102017044008080;1080;576531.13;6148101.08;-34.80645446,-56.16329379;CNO. C. PETEROSSI;5185;INSTRUCCIONES;22224802;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;POLICLINICA;35971002;ASSE;SI;SI;SI;SI;NO;SI;SI;SI;SI;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;-34.80645446;-56.16329379;POINT (-56.16329379 -34.80645446)
80;2.16.858.0.0.2.1.1.5980102011092007081;POLICLINICA CAPRA;POL. CAPRA;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;11;92;7;102011092007081;1081;580359.31;6148523.01;-34.80235511,-56.12148525;PLAZOLETA DE BARRIO NUEVO PASAJE C;S/N;JUAN LOPEZ;22223778;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;POLICLINICA;35971002;ASSE;SI;NO;NO;SI;NO;SI;SI;SI;SI;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;-34.80235511;-56.12148525;POINT (-56.12148525 -34.80235511)
81;2.16.858.0.0.2.1.1.5980102020012001082;POLICLINICA CASA DE MARIO;POL. CASA DE MARIO;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;20;12;1;102020012001082;1082;571215.18;6141576.28;-34.86567328,-56.22085335;DR. VAZQUEZ SAGASTUME;383;GOBERNADOR DEL PINO;23070846 - 23589871;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;POLICLINICA;35971002;NO PERTENECE A ASSE;SI;SI;SI;SI;NO;NO;SI;SI;NO;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.86567328;-56.22085335;POINT (-56.22085335 -34.86567328)
82;2.16.858.0.0.2.1.1.5980102017330020083;POLICLINICA CASAVALLE;POL. CASAVALLE;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;17;330;20;102017330020083;1083;575568.58;6145101.9;-34.83356920,-56.17354616;CNO. LEANDRO GOMEZ;S/N;DR. JOSE MARTIRENE;22154525;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;POLICLINICA;35971002;INTENDENCIA;SI;SI;SI;SI;NO;SI;SI;SI;NO;SI;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;SI;SI;NO;SI;SI;SI;NO;NO;NO;NO;NO;NO;NO;NO;-34.8335692;-56.17354616;POINT (-56.17354616 -34.8335692)
84;2.16.858.0.0.2.1.1.5980102011289010085;POLICLINICA CIRILO;POL. CIRILO;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;11;289;10;102011289010085;1085;579780.82;6150083.63;-34.78832892,-56.12795711;SANTOS ALFONSO;4085;EDRULFO OLIVERA;22202926;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;POLICLINICA;35971002;S-D;SI;SI;SI;SI;NO;SI;SI;NO;SI;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;-34.78832892;-56.12795711;POINT (-56.12795711 -34.78832892)
85;2.16.858.0.0.2.1.1.5980102009117414086;POLICLINICA COLON;POL. COLON;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;9;117;414;102009117414086;1086;570921.788;6148974.824;-34.79898214404191, -56.22468864460107;AVDA. GARZON;2101;CALDERON DE LA BARCA;23202003;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;POLICLINICA;35971002;INTENDENCIA;SI;SI;SI;SI;NO;SI;SI;SI;NO;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.7989821440419;-56.2246886446011;POINT (-56.22468864460107 -34.79898214404191)
86;2.16.858.0.0.2.1.1.5980102009117030087;POLICLINICA COMPLEJO AMERICA;POL. COMPLEJO AMERICA;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;9;117;30;102009117030087;1087;570358.092;6148965.593;-34.79910447263776, -56.23084966405317;CNO. DURAN;S/N;YEGROS;23203238;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;POLICLINICA;35971002;NO PERTENECE A ASSE;SI;SI;SI;SI;NO;NO;SI;NO;NO;SI;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.7991044726378;-56.2308496640532;POINT (-56.23084966405317 -34.79910447263776)
