id;descripcio;coddepto;departamen;codloc;localidad;idcalle;calle;nro;km;idesq1;esquina;idesq2;esq2;manzana;solar;tel1;tel2;tel3;observacio;direccion;fechaactua;telefono;desydepto;tipo;correo;web;fax;horario;x;y;lon;lat;nombre;id2
126803;POL COMPLEJO LAS DELICIAS;9;LAVALLEJA;9220;MINAS;;CMNO. AL PASO DE LAS PIEDRAS;;;;JOHN F KENNEDY;;;;;;;;PIEDRAS esquina JOHN FITZGERALD KENNEDY;;14-03-2026;44426794;;;;;;;663785.673475193;6196057.11125897;-55.2189;-34.3639;POLICLINICA COMPLEJO LAS DELICIAS;
126804;POL PASO DE LA ARENA;1;MONTEVIDEO;1020;LA PALOMA - TOMKINSON;;CMNO. TOMKINSON;2459;;;AVDA. ALFREDO MORENO;;;;;;;;TOMKINSON 2459 esquina ALFREDO MORENO VENDITTO;;14-03-2026;23147109;;;;;;;566425.905138538;6144758.92514318;-56.2735;-34.8373;POLICLINICA PASO DE LA ARENA;
126807;POL REPUBLICA DE CHILE;1;MONTEVIDEO;1020;ITUZAINGO;;BAGE;3790;;;AVDA. GRAL. FLORES;;;;;;;;BAGE 3790 esquina FLORES;;14-03-2026;25149749  22220460;;;;;;;577298.901093206;6143753.20268332;-56.1545;-34.8456;POLICLINICA REPUBLICA DE CHILE;
126808;POL ACCION PROMOCIONAL 18 DE JULIO;1;MONTEVIDEO;1020;LAS ACACIAS;;CMNO. CHIMBORAZO;3266;;;AVDA. GRAL. FLORES;;;;;;;;CHIMBORAZO 3266 esquina FLORES;;14-03-2026;22161968;;;;;;;576882.925304948;6143213.26433799;-56.159;-34.8505;POLICLINICA ACCION PROMOCIONAL 18 DE JULIO;
126809;POL LAVALLEJA;1;MONTEVIDEO;1020;PE�AROL - LAVALLEJA;;SORIA;1243;;;ARANGUA;;;;;;;;SORIA 1243 esquina ARANGUA;;14-03-2026;23579527;;;;;;;573255.815759928;6144673.63630129;-56.1988;-34.8376;POLICLINICA LAVALLEJA;
126810;POLICLINICO MOVIL UCC;1;MONTEVIDEO;1020;CORDON;;CERRO LARGO;1726;;;TRISTAN NARVAJA;;;;;;;;CERRO LARGO 1726 esquina TRISTAN NARVAJA;;14-03-2026;24009456;;;;;;;574892.208986196;6137917.3839232;-56.1803;-34.8984;POLICLINICO MOVIL_UCC;
126811;POL BARRIO SUR;1;MONTEVIDEO;1020;BARRIO SUR;;AVDA. GONZALO RAMIREZ;1270;;;CARLOS S VIANA;;;;;;;;GONZALO RAMIREZ 1270 esquina CARLOS S VIANA;;14-03-2026;29085036;;;;;;;574167.401920977;6136426.06220056;-56.1881;-34.9119;POLICLINICA BARRIO SUR;
126812;POL BUCEO;1;MONTEVIDEO;1020;BUCEO;;AVDA. SANTIAGO RIVAS;1500;;;DEMOSTENES;;;;;;;;SANTIAGO RIVAS 1500 esquina DEMOSTENES;;14-03-2026;26224084;;;;;;;579315.562025656;6138013.19515113;-56.1319;-34.8972;POLICLINICA BUCEO;
126813;POL CROTTOGINI;1;MONTEVIDEO;1020;REDUCTO;;MARSELLA;2738;;;COLORADO;;;;;;;;MARSELLA 2738 esquina COLORADO;;14-03-2026;22005214;;;;;;;574601.53228373;6140370.76869665;-56.1837;-34.8763;POLCILINICA CROTTOGINI;
126814;POL IRMA GENTILE;1;MONTEVIDEO;1020;MERCADO MODELO - BOLIVAR;;IGNACIO MANUEL ALTAMIRANO;;;;AVDA. DR. LUIS ALBERTO DE HERRERA;;;;;;;;ALTAMIRANO esquina LUIS ALBERTO DE HERRERA;;14-03-2026;24864439;;;;;;;576525.121638678;6140876.15197449;-56.1627;-34.8716;POLICLINICA DRA IRMA GENTILE;
126815;POL LUISA TIRAPARE;1;MONTEVIDEO;1020;CORDON;;AVDA. URUGUAY;1936;;;ARENAL GRANDE;;;;;;;;URUGUAY 1936 esquina ARENAL GRANDE;;14-03-2026;24006436;;;;;;;575257.314407331;6137870.02568756;-56.1763;-34.8988;POLICLINICA LUISA TIRAPARE;
126816;POL INVE 16;1;MONTEVIDEO;1020;MALVIN NORTE;;HIPOLITO YRIGOYEN;2069;;;IGUA;;;;;;;;HIPOLITO YRIGOYEN 2069 esquina IGUA;;14-03-2026;25251542;;;;;;;581168.706002118;6139871.28030331;-56.1118;-34.8803;POLICLINICA INVE 16;
126817;POL ODONTOLOGICO J P VARELA;1;MONTEVIDEO;1020;LAS CANTERAS;;CALLE N1;2551;;;;;;;;;;;CALLE N1 2551;;14-03-2026;25225297;;;;;;;582698.695940278;6140279.03774876;-56.0951;-34.8765;POLICLINICA ODONTOLOGICA J P VARELA;
126818;POL ODONTOLOGICO FRANCISCO PUCCI;1;MONTEVIDEO;1020;LAS CANTERAS;;;2609;;;CMNO. FELIPE CARDOSO;;;;;;;;CALLE 1 2609 esquina FELIPE CARDOSO;;14-03-2026;25256822;;;;;;;581473.283266977;6141232.7354776;-56.1086;-34.868;POLICLINICA ODONTOLOGICA FRANCISCO PUCCI;
126819;POL AQUILES LANZA;1;MONTEVIDEO;1020;BELVEDERE;;IQUIQUE;820;;;ARICA;;;;;;;;IQUIQUE 820 esquina ARICA;;14-03-2026;23079321;;;;;;;570296.866912786;6143964.8351287;-56.2311;-34.8442;POLICLINICA AQUILES LANZA;
126820;POL CASABO;1;MONTEVIDEO;1020;CASABO - PAJAS BLANCAS;;CAMERUN;;;;CONTINUACION CHARCAS;;;;;;;;CAMERUN esquina CONTINUACION CHARCAS;;14-03-2026;23110778;;;;;;;566688.154739556;6139333.88025809;-56.2702;-34.8862;POLICLINICA CASABO;
126821;POL LA PALOMA;1;MONTEVIDEO;1020;LA PALOMA - TOMKINSON;;;4556;;;CMNO. LA PALOMA;;;;;;;;CNO DE LAS TROPAS 4556 esquina LA PALOMA;;14-03-2026;23112301;;;;;;;567433.325768082;6141247.04602587;-56.2622;-34.8689;POLICLINICA LA PALOMA;
126822;POL LA TEJA;1;MONTEVIDEO;1020;LA TEJA;;AVDA. CARLOS MARIA RAMIREZ;881;;;JOSE CASTRO;;;;;;;;CARLOS MARIA RAMIREZ 881 esquina JOSE CASTRO;;14-03-2026;23052801;;;;;;;569848.814751868;6141561.65513096;-56.2358;-34.8659;POLICLINICA LA TEJA;
126823;POL PARQUE BELLAN;1;MONTEVIDEO;1020;BELVEDERE;;AVDA. AGRACIADA;4241;;;;;;;;;;;AGRACIADA 4241;;14-03-2026;23086580;;;;;;;571209.855744638;6142615.85374937;-56.221;-34.8563;POLICLINICA PARQUE BELLAN;
126824;POL ODONTOLOGICO YANO RODRIGUEZ;1;MONTEVIDEO;1020;LA PALOMA - TOMKINSON;;HAITI;1606;;;AVDA. DR. SANTIN CARLOS ROSSI;;;;;;;;HAITI 1606 esquina SANTIN CARLOS ROSSI;;14-03-2026;23157747;;;;;;;568455.095387779;6140984.38888354;-56.251;-34.8712;POLICLINICA ODONTOLOGICA YANO RODRIGUEZ;
126825;POL MATTO GROSSO;12;RIO NEGRO;12320;FRAY BENTOS;;;;;;JOSE ROGER BALLET;;;;;;;;JOSE BATLLE Y ORDONEZ esquina JOSE ROGER BALET;;14-03-2026;;;;;;;;377726.679886506;6334235.20207065;-58.3107;-33.1237;POLICLINICA MATTO GROSSO;
126827;POL DIABETICOS;7;FLORES;7320;TRINIDAD;;BRASIL;369;;;GRAL. LAVALLEJA;;;;;;;;BRASIL 369 esquina JUAN ANTONIO LAVALLEJA;;14-03-2026;;;;;;;;509861.864882796;6290770.08747628;-56.8938;-33.5226;POLICLINICA DIABETICOS;
126828;BPS CORDON;1;MONTEVIDEO;1020;CORDON;;AVDA. GRAL. RIVERA;2032;;;DR. PABLO DE MARIA;;;;;;;;RIVERA 2032 esquina PABLO DE MARIA;;14-03-2026;;;;;;;;575610.438347978;6137478.94325536;-56.1724;-34.9023;Centro de Promocion Social y de Salud BPS  Cordon;
126829;BPS CERRO;1;MONTEVIDEO;1020;CERRO;;JAPON;1715;;;GRECIA;;;;;;;;JAPON 1715 esquina GRECIA;;14-03-2026;;;;;;;;568396.944024865;6140541.20987265;-56.2516;-34.8752;Centro de Promocion Social y de Salud BPS  CERRO;
126830;BPS AGUADA;1;MONTEVIDEO;1020;AGUADA;;MARTIN GARCIA;;;;MARMARAJA;;;;;;;;MARTIN GARCIA esquina MARMARAJA;;14-03-2026;;;;;;;;574136.220283835;6139343.12974438;-56.1887;-34.8856;Centro de Promocion Social y de Salud  Aguada;
126836;;9;LAVALLEJA;9932;GAETAN;;;;;;;;;;;;;;40 Y CMNO VEC A R 108;;14-03-2026;;;;;;;;640163.458932813;6222574.97824634;-55.48;-34.1283;POLICLINICA GAETAN;
126837;;9;LAVALLEJA;9900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;678627.151780703;6239818.73938253;-55.0666;-33.967;POLICLINICA BARRIGA NEGRA;
126838;;9;LAVALLEJA;9931;ESTACION SOLIS;;;;;;;;;;;;;;CAMINO DE LAS PORTERAS;;14-03-2026;;;;;;;;642691.666456927;6196004.17154203;-55.4482;-34.3675;POLICLINICA ESTACION SOLIS;
126839;;9;LAVALLEJA;9900;;;;;125.5;;;;;;;;;;RUTA 8  KM 125500;;14-03-2026;;;;;;;;667665.929407429;6196454.14907078;-55.1768;-34.3597;POICLINCA CAMPANERO;
126840;;11;PAYSANDU;11830;SAN FELIX;;;52;;;;;;;;;;;21 52 esquina 21;;14-03-2026;47253033;;;;;;;397476.73152203;6421599.32690972;-58.0894;-32.3378;POLICLINICA JARDINES DEL HIPODROMO;
126841;;11;PAYSANDU;11120;PAYSANDU;;;;;;AVDA. ITALIA;;;;;;;;LIMITE ESTE esquina ITALIA;;14-03-2026;47243880;;;;;;;400545.646592216;6423459.384089;-58.0566;-32.3213;POLICLINICA INVE;
126843;;2;ARTIGAS;2900;;;;343;;;;;;;;;;;B32 343;;14-03-2026;47794467;;;;;;;443995.232242959;6654022.58967592;-57.5821;-30.2441;CAIF LAS ALMENDRAS;
126844;;1;MONTEVIDEO;1020;BANADOS DE CARRASCO;;;6350;;;CMNO. CHACARITA DE LOS PADRES;;;;;;;;DIONISOS 6350 esquina CHACARITA DE LOS PADRES;;14-03-2026;;;;;;;;582955.579378679;6144424.65651429;-56.0927;-34.8391;SAIPPL PUNTA DE RIELES UIPPL1;
126845;;4;CERRO LARGO;4522;RIO BRANCO;;;5305;;;;;;;;;;;CASIANO MONEGAL 5305;;14-03-2026;46755492;;;;;;;840824.43232086;6387609.88791734;-53.369;-32.5966;POLICLINICA MEVIR RIO BRANCO;
126846;;1;MONTEVIDEO;1020;CERRO;;GIBRALTAR;3992;;;BELGICA;;;;;;;;GIBRALTAR 3992 esquina BELGICA;;14-03-2026;23145457;;;;;;;567340.871367582;6139861.4373058;-56.2631;-34.8814;POLICLINICA TITO BORJA;
126847;;10;MALDONADO;10935;EL EDEN;;;;;;;;;;;;;;CALANDRIA;;14-03-2026;;;;;;;;678181.037584939;6166224.92640894;-55.0562;-34.6304;POLICLINICA PUEBLO EDEN;
126848;;10;MALDONADO;10959;PUNTA NEGRA;;RIO DE JANEIRO;;;;PERU;;;;;;;;RIO DE JANEIRO esquina PERU;;14-03-2026;;;;;;;;662518.154286456;6138289.2671252;-55.2216;-34.8848;POLICLINICA PUNTA NEGRA;
126849;;10;MALDONADO;10931;CERROS AZULES;;;;;;;;;;;;;;TALA;;14-03-2026;;;;;;;;649436.707417448;6151802.613561;-55.3671;-34.765;POLICLINICA CERROS AZULES;
126850;;10;MALDONADO;10945;LAS FLORES;;;;;;;;;;;;;;RUTA 9 VIEJA;;14-03-2026;;;;;;;;653369.360241523;6148820.13041824;-55.3236;-34.7913;POLICLINICA ESTACION LAS FLORES;
126851;;10;MALDONADO;10828;BALNEARIO SOLIS;;;;;;;;;;;;;;YATAY;;14-03-2026;;;;;;;;648431.452982867;6147947.20406104;-55.3774;-34.7999;POLICLINICA BALNEARIO SOLIS;
126852;;10;MALDONADO;10827;NUEVA CARRARA;;;;;;;;;;;;;;CAMINO A NUEVA CARARA;;14-03-2026;44902402;;;;;;;659436.947771861;6156715.80080752;-55.2588;-34.7192;POLICLINICA NUEVA CARRARA;
126853;;10;MALDONADO;10823;GERONA;;;;;;;;;;;;;;ARIES;;14-03-2026;44348413;;;;;;;659491.542047108;6151411.78229952;-55.2572;-34.767;POLICLINICA PUEBLO GERONA;
126854;;19;TREINTA Y TRES;19220;TREINTA Y TRES;;;371;;;;;;;;;;;CALLE 18 371;;14-03-2026;44508172;;;;;;;828833.634283659;6367365.92405332;-53.4894;-32.7825;POLICLINICA ARROZAL RADUNZ;
126855;;19;TREINTA Y TRES;19220;TREINTA Y TRES;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;739463.396338179;6359887.96609524;-54.4406;-32.873;POLICLINICA QUEBRADA DE LOS CUERVOS;
126856;;19;TREINTA Y TRES;19220;TREINTA Y TRES;;;;;;;;;;;;;;CAMINO RINCON DE RAMIREZ;;14-03-2026;44508923;;;;;;;816308.566280217;6367918.40191917;-53.6231;-32.7812;POLICLINICA ARROZAL EL PALMAR;
