WKT;name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon
"POINT (-57.435231 -34.426632)";DF111 C.P CHLA.EP JUAN LACAZE ;"Días y horarios: Lun a Vi de 08:30 a 13:30 hrs.<br>Dirección: Yamandu 89, Abayuba y Tabare";;;;;-1;0;-1;;
"POINT (-57.4321114 -34.4353549)";"DF112	CAMEC JUAN LACAZE";"Días y horarios: Jueves de 12:30 a 15:30 hrs.<br>Dirección: Jose Enrique Rodo	249	Vacheli y Montevideo";;;;;-1;0;-1;;
"POINT (-57.437751 -34.436059)";"DF113	CIRCULO CATOLICO";Días y horarios: Jue de 12:00 a 14:00 <br>Dirección: José Salvo 212 y Rivera y José Campomar;;;;;-1;0;-1;;
"POINT (-56.521579 -33.379221)";"EE111	C.P CHLA-EP DURAZNO";Días y horarios: Lun a Vie de 08:00 a 13:00<br>Dirección: 18 de Julio 617 y Manuel Oribe y Eusebio Piriz;;;;;-1;0;-1;;
"POINT (-56.52424 -33.376896)";EE114 - I.M.D. COBUSU ;"Días y horarios: Lun a Vie de 07:00 a 13:00 Hrs.<br>Dirección: Instrucciones del año XIII 244, esq. Salaberry";;;;;-1;0;-1;;
"POINT (-55.624123 -33.340012)";"EH111	C.P CHLA.EP SDI. DEL YI";Días y horarios: Lun. a Vie. de 08:30 a 13:30 hrs.<br>Dirección: Avda. Petrini 501 y Vidal de Pereira y Batlle;;;;;-1;0;-1;;
"POINT (-56.208857 -34.098473)";"GG111	C.P CHLA-EP FLORIDA";Días y horarios: Lun a Vie de 07:30 a 13:30<br>Dirección: Baltasar Brum 414 y Lavalleja y 18 de Julio;;;;;-1;0;-1;;
"POINT (-56.214565 -34.099026)";"GG113  IMF 	Policlínica intendencia Florida";Días y horarios: Lun a Vie de 07:30 a 10:30 <br>Dirección: Independencia 586 y L.A. de Herrera e Ituzaingó;;;;;-1;0;-1;;
"POINT (-56.324871 -33.725185)";"GL111	C.P CHLA-EP SDI. GRANDE ";Días y horarios: Lun a Vie de 8:15 a 12:30<br>Dirección: Pasteur 1052 y Treinta y Tres y Faustino Harrison;;;;;-1;0;-1;;
"POINT (-55.234223 -34.376213)";"HH113	Minas IML	Intendencia de Lavalleja ";Días y horarios: Lun. a Vier. de 10:00  a 13:00<br>Dirección: J. Batlle y Ordoñez 546 y Rodó y Anibal del Campo;;;;;-1;0;-1;;
"POINT (-55.2442118 -34.3761057)";"HH114	CAMDEL MINAS";"Días y horarios: <br>Lun a Vie de  07:30 a 11:15 y de 14:00 a 16:45<br>Dirección: Juan Farina 361, C/R.P del Puerto";;;;;-1;0;-1;;
"POINT (-55.243217 -34.372465)";"HA111	J. Batlle Y Ordoñez ASSE	Policlínica José Batlle y Ordoñez ";Días y horarios: Lun. a Vie. de 10:00 a 12:00<br>Dirección: 18 de Julio s/n y Lavalleja y Bvar. Artigas;;;;;-1;0;-1;;
"POINT (-54.535707 -33.456528)";HC113 CAMDEL J.P. Varela;Días y horarios: Ma de 09:00 a 12:00 <br>Dirección: Lavalleja s/n y Podestá y Artigas;;;;;-1;0;-1;;
"POINT (-55.466323 -34.598066)";"HF112 IAMC 	CAMDEL Solís de Mataojo";Días y horarios: Lun y Vie de 13:00 a 17:00<br>Dirección: Avda. Fabini s/n y Minas;;;;;-1;0;-1;;
"POINT (-54.966763 -34.905908)";"II111	C.P CHLA-EP MALDONADO";Días y horarios: Lun a Vie de 08:30 a 13:30<br>Dirección: Ventura Alegre entre J.Miranda y Las Dalias;;;;;-1;0;-1;;
"POINT (-54.938611 -34.897666)";"II112	I.M.MALDONADO";Días y horarios: Lun a Vie de 07:45 a 11:45 hrs.<br>Dirección: Alberto Caracará (Calle 7) s/n y Meboipe y Teodoro Chacovo;;;;;-1;0;-1;;
