id;descripcio;coddepto;departamen;codloc;localidad;idcalle;calle;nro;km;idesq1;esquina;idesq2;esq2;manzana;solar;tel1;tel2;tel3;observacio;direccion;fechaactua;telefono;desydepto;tipo;correo;web;fax;horario;x;y;lon;lat;nombre;id2
126426;CENTRO AUXILIAR GUICHON;11;PAYSANDU;11521;GUICHON;;AVDA. PEDRO LUIS GUICHON;;;;;;;;;;;;PEDRO LUIS GUICHON esquina AVDA ARTIGAS;;14-03-2026;;;;;;;;480712.888054996;6419530.57003061;-57.205;-32.361;CENTRO AUXILIAR GUICHON;
126468;C S FRAY BENTOS;12;RIO NEGRO;12320;FRAY BENTOS;;18 DE JULIO;;;;ITUZAINGO;;;;;;;;18 DE JULIO esquina ITUZAINGO;;14-03-2026;;;;;;;;377783.951271368;6334879.0876503;-58.31;-33.1179;CENTRO DE SALUD FRAY BENTOS;
126476;C S YOUNG;12;RIO NEGRO;12421;YOUNG;;LAVALLEJA;;;;DR. ZEMIRAMIDES ZEBALLOS;;;;;;;;JUAN ANTONIO LAVALLEJA esquina ZEMIRAMIDES ZEBALLOS;;14-03-2026;;;;;;;;440760.311050192;6382026.57835611;-57.632;-32.6979;CENTRO DE SALUD YOUNG;
126494;C S J ROYOL;13;RIVERA;13020;RIVERA;;DR. ALTIVO ESTEVES;;;;TABOBA;;;;;;;;LIBANO esquina TABOBA;;14-03-2026;;;;;;;;640589.431308961;6580220.94609156;-55.5289;-30.903;CENTRO DE SALUD J ROYOL;
126495;C S RIVERA CHICO;13;RIVERA;13020;RIVERA;;CUARO;;;;MONS. JACINTO VERA;;;;;;;;1825 esquina JACINTO VERA;;14-03-2026;;;;;;;;638121.795293706;6581594.59807971;-55.5549;-30.8909;CENTRO DE SALUD RIVERA CHICO;
126502;CENTRO AUXILIAR MINAS DE CORRALES;13;RIVERA;13521;MINAS DE CORRALES;;12 DE OCTUBRE;;;;18 DE JULIO;;;;;;;;12 DE OCTUBRE esquina 18 DE JULIO;;14-03-2026;46582203;;;;;;;644818.734898549;6505782.70373125;-55.4739;-31.5739;CENTRO AUXILIAR MINAS DE CORRALES;
126536;C S LASCANO;14;ROCHA;14422;LASCANO;;LIBERTAD;;;;ANSINA;;;;;;;;LIBERTAD esquina ANSINA;;14-03-2026;;;;;;;;759131.471329171;6270050.24779849;-54.2049;-33.6779;CENTRO AUXILIAR LASCANO;
126602;C S SAN JOSE;16;SAN JOSE;16220;SAN JOSE DE MAYO;;CAP. EUSEBIO VIDAL;;;;AVDA. LARRIERA;;;;;;;;VIDAL esquina LARRIERA;;14-03-2026;;;;;;;;527142.189249794;6199883.25139199;-56.7049;-34.342;CENTRO DE SALUD SAN JOSE;
126614;CENTRO AUXILIAR LIBERTAD;16;SAN JOSE;16421;LIBERTAD;;GRAL. JOSE G ARTIGAS;;;;18 DE JULIO;;;;;;;;JOSE GERVASIO ARTIGAS esquina 18 DE JULIO;;14-03-2026;;;;;;;;534737.378813871;6167378.62153977;-56.621;-34.6349;CENTRO AUXILIAR LIBERTAD;
126617;C S CIUDAD DEL PLATA;16;SAN JOSE;16021;CIUDAD DEL PLATA;;;;;;;;;;;;;;RIVERA;;14-03-2026;23475178  23475179;;;;;;;555921.936406622;6152636.27999835;-56.3889;-34.7669;CENTRO DE SALUD CIUDAD DEL PLATA;
126668;C S TACUAREMBO;18;TACUAREMBO;18020;TACUAREMBO;;DR. LORENZO CARNELLI;;;;33 ORIENTALES;;;;;;;;LORENZO CARNELLI esquina TREINTA Y TRES;;14-03-2026;46322558;;;;;;;596164.749288855;6490162.72436512;-55.985;-31.7199;CENTRO DE SALUD TACUAREMBO;
126691;CS SAN GREGORIO DE POLANCO;18;TACUAREMBO;18521;SAN GREGORIO DE POLANCO;;DR. YAMANDU GAMBA;46;;;INDEPENDENCIA;;;;;;;;YAMANDU GAMBA 46 esquina INDEPENDENCIA;;14-03-2026;43694003;;;;;;;609212.427666531;6390251.57928844;-55.8359;-32.6199;CENTRO DE SALUD SAN GREGORIO DE POLANCO;
126692;CS SAN GREGORIO DE POLANCO;18;TACUAREMBO;18521;SAN GREGORIO DE POLANCO;;DR. YAMANDU GAMBA;;;;INDEPENDENCIA;;;;;;;;YAMANDU GAMBA esquina INDEPENDENCIA;;14-03-2026;43694003;;;;;;;609212.427666531;6390251.57928844;-55.8359;-32.6199;CENTRO AUXILIAR SAN GREGORIO DE POLANCO;
126750;C S BOLIVAR LEDESMA;19;TREINTA Y TRES;19220;TREINTA Y TRES;;PABLO ZUFRIATEGUI;1362;;;;;;;;;;;PABLO ZUFRIATEGUI 1362;;14-03-2026;;;;;;;;744060.340349594;6320056.74299571;-54.3809;-33.2309;CENTRO DE SALUD BOLIVAR LEDESMA;
126764;C S SANTA CLARA;19;TREINTA Y TRES;19521;SANTA CLARA DE OLIMAR;;;;;;;;;;;;;;CHIQUITO SARAVIA esquina 7;;14-03-2026;;;;;;;;691225.30380168;6355294.05290904;-54.9549;-32.9239;CENTRO DE SALUD SANTA CLARA;
126765;C S VERGARA;19;TREINTA Y TRES;19522;VERGARA;;CNEL. M BARRETO;;;;;;;;;;;;M BARRETO esquina A UTURBEY;;14-03-2026;;;;;;;;786488.813549493;6351318.79658856;-53.9359;-32.9389;CENTRO AUXILIAR VERGARA;
126805;CENTRO AUXILIAR MARIO PAREJA;3;CANELONES;3221;LAS PIEDRAS;;LAVALLEJA;585;;;AVDA. ARTIGAS;;;;;;;;JUAN ANTONIO LAVALLEJA 585 esquina JOSE GERVASIO ARTIGAS;;14-03-2026;23656267  23650052;;;;;;;571687.328249686;6156951.86214186;-56.217;-34.727;CENTRO AUXILIAR MARIO PAREJA;
126806;CS PASO DE LOS TOROS;18;TACUAREMBO;18321;PASO DE LOS TOROS;;;155;;;EMILIA GRASSI;;;;;;;;DR VICTOR ALVAREZ MENENDEZ 155 esquina EMILIA GRASSI;;14-03-2026;46643507;;;;;;;546805.449559745;6369122.27735233;-56.5;-32.8149;CENTRO DE SALUD PASO DE LOS TOROS;
126826;C S 18 DE JULIO;9;LAVALLEJA;9220;MINAS;;18 DE JULIO;668;;;DOMINGO PEREZ;;;;;;;;18 DE JULIO 668 esquina DOMINGO PEREZ;;14-03-2026;44435409;;;;;;;662033.554182226;6194756.45201997;-55.2377;-34.3759;CENTRO DE SALUD 18 DE JULIO;
126857;;1;MONTEVIDEO;1020;MERCADO MODELO - BOLIVAR;;AVDA. GRAL. FLORES;3214;;;BVAR. GRAL. ARTIGAS;;;;;;;;FLORES 3214 esquina ARTIGAS;;14-03-2026;;;;;;;;575586.108624739;6141172.30410637;-56.173;-34.869;INAU ESPACIO SALUD;
